id,name,sex,dob,num_course_taken,career_path_name,hours_to_complete,time_spent_hrs,prcnt_complete,job_category,city,state
1,Annabelle Avery,F,1943-07-03,6.0,data scientist,20.0,4.99,0.2495,HR,Irondale,Wisconsin
2,Micah Rubio,M,1991-02-07,5.0,android developer,27.0,4.4,0.16296296296296298,HR,Shoals,Indiana
3,Hosea Dale,M,1989-12-07,8.0,android developer,27.0,6.74,0.24962962962962965,HR,St. Bonaventure,Virginia
4,Mariann Kirk,F,1988-07-31,7.0,machine learning engineer,35.0,12.31,0.3517142857142857,education,Lane,Arkansas
5,Lucio Alexander,M,1963-08-31,14.0,data analyst,12.0,5.64,0.47,HR,Doyles borough,Rhode Island
6,Shavonda Mcmahon,F,1989-10-15,10.0,data analyst,12.0,10.12,0.8433333333333333,education,Tarpon Springs,Montana
7,Terrell Bleijenberg,M,1959-05-05,9.0,android developer,27.0,24.17,0.8951851851851852,engineer,Oskaloosa,Virginia
8,Stanford Allan,M,1997-11-22,3.0,data scientist,20.0,19.54,0.977,software developer,Point Baker,Texas
9,Tricia Delacruz,F,1961-10-20,6.0,machine learning engineer,35.0,1.75,0.05,analytics,Lake Lindsey,Washington
10,Regenia van der Helm,N,1999-02-23,7.0,frontend engineer,20.0,13.55,0.6775,financial services,Falcon Heights,New Mexico
11,Shonda Stephanin,F,1998-10-24,5.0,ux/ui designer,15.0,12.61,0.8406666666666667,HR,Rockwood,Maine
12,Marcus Mcfarland,M,1977-05-29,3.0,frontend engineer,20.0,9.12,0.45599999999999996,HR,Dale,South Carolina
13,Edwardo Boonzayer,N,1975-05-23,15.0,backend engineer,18.0,6.09,0.3383333333333333,engineer,Solana Beach,Kansas
14,Robena Padilla,F,1969-01-15,5.0,machine learning engineer,35.0,15.92,0.45485714285714285,software developer,McLemoresville,Maryland
15,Tamala Sears,F,1942-06-01,13.0,data scientist,20.0,4.64,0.23199999999999998,HR,Bethania,Washington
16,Norene Dalton,F,1976-04-30,0.0,,,,,education,Branch,Ohio
17,Maris Benskoop,F,1965-08-10,5.0,software engineering,25.0,12.08,0.4832,financial services,South Mountain,Washington
18,Yolande van Hees,F,1978-12-09,13.0,machine learning engineer,35.0,34.44,0.984,HR,McBaine,New Jersey
19,Dominic Werner,M,1973-09-29,14.0,android developer,27.0,22.84,0.845925925925926,financial services,Laramie,Nevada
20,Sofia van Steenbergen,N,1990-02-21,13.0,,,,,HR,Beaman,Georgia
21,Toney Villarreal,M,1993-06-04,4.0,data analyst,12.0,4.3,0.35833333333333334,creative,Leisure Village,South Carolina
22,Clayton Lamb,M,1963-02-02,8.0,frontend engineer,20.0,2.86,0.143,engineer,Binger,Connecticut
23,Isabel van Erven,F,1973-06-11,9.0,backend engineer,18.0,7.02,0.38999999999999996,education,Marianna,Indiana
24,Eartha Weeks,F,1954-12-05,2.0,data scientist,20.0,9.86,0.493,HR,Hersey village,Illinois
25,Eloy Limmink,M,1998-01-07,10.0,data analyst,12.0,10.24,0.8533333333333334,software developer,Marshfield,Delaware
26,Doug Browning,M,1970-06-08,0.0,backend engineer,18.0,1.92,0.10666666666666666,HR,Devine,Florida
27,Damon Schrauwen,M,1953-10-31,0.0,ux/ui designer,15.0,3.73,0.24866666666666667,creative,Maben,Georgia
28,Lexie Rowland,F,1942-08-30,14.0,data analyst,12.0,8.74,0.7283333333333334,creative,Inglewood,Mississippi
29,Edgardo Chavez,M,1946-02-12,12.0,backend engineer,18.0,12.98,0.7211111111111111,HR,Crescentvillage,Maine
30,Bettyann Klarenbos,F,1950-11-05,9.0,machine learning engineer,35.0,21.45,0.6128571428571429,analytics,Westmorland,Alabama
31,Christoper Warner,M,1989-12-28,5.0,,,,,engineer,Drain,Illinois
32,Antwan Villegas,M,1976-06-11,3.0,data analyst,12.0,3.39,0.28250000000000003,HR,Closter borough,Montana
33,Madelene Poole,F,1978-11-25,13.0,iOS developer,27.0,6.93,0.25666666666666665,education,Bonsall,Vermont
34,Dion Donaldson,M,1947-02-21,15.0,software engineering,25.0,9.69,0.3876,software developer,Horse Cave,Idaho
35,Gerry Moss,F,1993-03-01,5.0,data analyst,12.0,3.91,0.32583333333333336,software developer,Crystal Lakes,New York
36,Natalie Goff,F,1978-01-17,0.0,data engineer,20.0,10.65,0.5325,education,Bonner Springs,Nebraska
37,Ellis Leblanc,M,1998-10-19,8.0,machine learning engineer,35.0,22.62,0.6462857142857144,engineer,Montreal,Georgia
38,Cristobal Kastelein,M,1981-04-29,10.0,ux/ui designer,15.0,9.31,0.6206666666666667,creative,North Madison,Colorado
39,Miki Darvill,F,1996-03-15,15.0,backend engineer,18.0,18.1,1.0055555555555555,education,Topsfield,Montana
40,Gregory Battle,M,1951-10-29,8.0,frontend engineer,20.0,12.33,0.6165,engineer,North Edwards,Vermont
41,Latisha Wermeskerken,F,1964-06-01,6.0,machine learning engineer,35.0,29.85,0.8528571428571429,analytics,Mullin,California
42,Lynwood Adenrock,N,1952-03-30,12.0,iOS developer,27.0,10.01,0.37074074074074076,HR,Minnetonka,Texas
43,Lula Sanchez,F,1973-07-16,15.0,frontend engineer,20.0,12.69,0.6345,creative,Moclips,Arizona
44,Cori Castillo,F,2000-11-13,14.0,android developer,27.0,16.6,0.6148148148148148,analytics,Sunny Isles Beach,Texas
45,Refugio van Deijl,M,1982-10-14,14.0,backend engineer,18.0,6.87,0.38166666666666665,HR,Marion Center,Maine
46,Janett Fleming,F,1973-10-25,6.0,data analyst,12.0,12.11,1.0091666666666665,engineer,South Venice,Virginia
